filename,apple,basil,bitter gourd,bread,brinjal,butter,cabbage,capsicum,carrots,cauliflower,chillies,coriander,cucumber,egg,garlic,ginger,lemon,lettuce,milk,okra,onion,potato,pumpkin,tomato,watermelon
20231001_202540_jpg.rf.c8c5ce6427100c9a75545ef16eeeceab.jpg,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0
IMG_2901_jpg.rf.4c6daff2c09c1b9e16cec9a112b5bb6f.jpg,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
IMG_4539_jpg.rf.cd8552ad418f356cfd234db02201586e.jpg,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
IMG_20231001_133604_jpg.rf.ff3fa86f43ee2082beefbbd95de856e3.jpg,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
20231001_203028_jpg.rf.90aa70df798570c4db1917d38add12ce.jpg,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0
20231001_202857_jpg.rf.116839bb40d0097b5bbf11735479e978.jpg,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0
IMG_4280_jpg.rf.05f56b10b1de942108e7815c8684b12f.jpg,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
IMG_1186_JPEG.rf.fc83c22603134ef17c7810f8e2d5e1aa.jpg,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0
IMG_4271_jpg.rf.df5f45c5bb216f22af53c19701b9f522.jpg,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
IMG_4423_jpg.rf.3f55c1ce502ca409f17998260b021215.jpg,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IMG_0535_JPEG.rf.4832f7c5d39bccde42aacc617dd0789f.jpg,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0
20231121_201005_jpg.rf.283f9c1db22956c05b2ac4815e28fb13.jpg,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
20231208_223946_jpg.rf.82c17c73579878ba11d600828c255c99.jpg,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0
IMG_0921_JPEG.rf.e22b6bb5002ce44a230cffc7193a1d06.jpg,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0
IMG_0554_JPEG.rf.65bada6833b4b99fafd0636566b71945.jpg,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0
IMG_0893_JPEG.rf.e1ae3d0e4a2a305122422e8b05811692.jpg,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0
20231005_084518_jpg.rf.67d57a626ecb671fb03389927ddfb214.jpg,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0
20231121_201034_jpg.rf.2b1e4e15cc743f7cffc5691fc8f4dfc0.jpg,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
db9cdc63-b5e7-4151-bceb-bc19fbcc1026_JPG.rf.1e98f06e83af8f3bb44686ffc36b64c3.jpg,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0
20230913_072653_jpg.rf.784b47c8cc94b6e93990c7c394f7cd25.jpg,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
20231121_202717_jpg.rf.b604832d81c07137fc76a8b3b84cbac3.jpg,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
IMG_4474_jpg.rf.eac2819fd3a477fc755624fc6b19b2da.jpg,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
20230925_090602_jpg.rf.d8a6299680b114bcf10c9585916ffa8d.jpg,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1
20231120_162700_jpg.rf.f0e1274a179397a3274270aef04d7834.jpg,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0
IMG_0835_JPEG.rf.aac7c32f8a2b6781cb06706d931f5d9f.jpg,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
20231121_201049_jpg.rf.a3f3e04818093c8cb7d59af263793e0a.jpg,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
IMG_0572_JPEG.rf.b72b57bc841336180fbbc9aa7c991b47.jpg,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1
IMG_0912_JPEG.rf.4f65c3359eca357e7bc93efc50ad472a.jpg,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0
IMG_0923_JPEG.rf.8dcee87ecffaf4dc48c79fab233f2ae9.jpg,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0
20230913_073056_jpg.rf.2a6d6c7f6fe42a31cf3f8a633aeda094.jpg,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0
IMG_20231001_130916_jpg.rf.f88b4218fd3ddc41eb0a1fc7181021a0.jpg,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
IMG_3336_jpg.rf.98309ab2033990de3d1a0e6b299790d7.jpg,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0
20231005_083606_jpg.rf.3bca6e6b0282f9a0a5e7cc47b4cad7cb.jpg,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
IMG_2862_jpg.rf.cc55955c4304e6e25bfd73dd70cbf7a2.jpg,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0
IMG_4294_jpg.rf.3c902c1847691b3660da01198259935e.jpg,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0
IMG_4553_jpg.rf.b34aae10f7490ee12998e53b50656a02.jpg,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20231001_204157_jpg.rf.76267b95b9d0c1446dcc4188e0d0c5a8.jpg,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
20230924_085656_jpg.rf.85779a50cfebb7c172d5583a98a6ef19.jpg,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0
IMG_20231001_130938_jpg.rf.ce9f35403a84c6a8873b6bbabca33ee8.jpg,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
20231001_204312_jpg.rf.2013b0c4745bbbbfd9f3706a542f0b64.jpg,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0
IMG_0933_JPEG.rf.4c90445e7c7988fbe3997876a76fe319.jpg,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
